IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
4.219.15.140,8443,443,true,CPH,Europe,Copenhagen,175,11.96
20.215.241.164,2053,443,true,WAW,Europe,Warsaw,430,11.95
20.100.9.147,443,443,true,CPH,Europe,Copenhagen,461,11.82
20.163.71.179,443,443,true,SJC,North America,San Jose,275,11.67
51.12.217.144,443,443,true,ARN,Europe,Stockholm,334,11.63
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,182,11.59
20.169.80.29,443,443,true,LAX,North America,Los Angeles,198,11.35
98.71.19.116,443,443,true,DUB,Europe,Dublin,266,11.32
20.217.216.51,8443,443,true,VIE,Europe,Vienna,668,11.15
4.242.220.94,8080,443,true,SJC,North America,San Jose,217,11.07
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,286,10.97
20.33.62.19,2083,443,true,LHR,Europe,London,438,10.76
74.249.233.213,443,443,true,ORD,North America,Chicago,243,10.08
158.23.81.224,8443,443,true,DFW,North America,Dallas,232,8.89
4.255.56.138,443,443,true,IAD,North America,Ashburn,344,8.82
158.23.81.224,2053,443,true,DFW,North America,Dallas,304,8.66
20.25.205.37,2053,443,true,ORD,North America,Chicago,339,8.52
20.25.205.37,8443,443,true,ORD,North America,Chicago,380,8.51
20.151.63.165,8443,443,true,YYZ,North America,Toronto,217,8.51
13.68.186.91,443,443,true,IAD,North America,Ashburn,301,8.44
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,509,8.40
172.214.176.68,8443,443,true,ORD,North America,Chicago,311,8.39
172.214.176.68,2053,443,true,ORD,North America,Chicago,401,8.31
20.84.117.28,443,443,true,IAD,North America,Ashburn,353,8.21
20.151.60.161,8443,443,true,YYZ,North America,Toronto,304,8.15
172.191.74.198,443,443,true,IAD,North America,Ashburn,281,7.97
20.109.23.42,443,443,true,IAD,North America,Ashburn,417,7.87
20.220.29.122,2053,443,true,YYZ,North America,Toronto,485,7.83
20.246.127.166,443,443,true,IAD,North America,Ashburn,371,7.82
20.221.32.145,443,443,true,ORD,North America,Chicago,195,7.71
20.127.201.36,443,443,true,IAD,North America,Ashburn,496,7.68
104.46.111.142,8443,443,true,IAD,North America,Ashburn,497,7.64
20.228.249.211,2053,443,true,IAD,North America,Ashburn,338,7.59
52.165.82.62,443,443,true,ORD,North America,Chicago,262,7.55
40.123.41.147,8443,443,true,IAD,North America,Ashburn,297,7.49
172.177.248.69,8443,443,true,IAD,North America,Ashburn,348,7.46
48.217.34.120,443,443,true,IAD,North America,Ashburn,332,7.43
4.172.225.82,8443,443,true,YYZ,North America,Toronto,254,7.32
172.174.249.255,443,443,true,IAD,North America,Ashburn,441,7.15
40.79.73.114,8443,443,true,IAD,North America,Ashburn,416,7.11
20.151.238.192,8443,443,true,YYZ,North America,Toronto,412,7.00
172.200.2.241,443,443,true,IAD,North America,Ashburn,416,6.97
4.172.225.98,8443,443,true,YYZ,North America,Toronto,267,6.91
4.248.47.209,8443,443,true,YUL,North America,Montréal,483,6.68
40.123.42.160,8443,443,true,IAD,North America,Ashburn,416,6.61
137.116.91.147,8443,443,true,IAD,North America,Ashburn,343,6.19
104.46.101.90,8443,443,true,IAD,North America,Ashburn,531,5.95
40.123.47.252,8443,443,true,IAD,North America,Ashburn,480,5.93
172.208.44.21,443,443,true,IAD,North America,Ashburn,529,5.55
40.123.47.225,8443,443,true,IAD,North America,Ashburn,417,5.48
191.235.86.71,8443,443,true,GRU,South America,São Paulo,377,3.53
191.235.86.71,2053,443,true,GRU,South America,São Paulo,423,3.02
4.152.146.110,443,443,true,IAD,North America,Ashburn,378,2.30
20.220.204.217,443,443,true,YYZ,North America,Toronto,334,0.07
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,79,0.07
137.116.251.154,80,443,false,DUB,Europe,Dublin,191,0.02
13.90.157.110,80,443,false,IAD,North America,Ashburn,219,0.02
52.226.76.91,80,443,false,IAD,North America,Ashburn,233,0.02
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,108,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,157,0.00
4.175.200.138,8080,80,false,AMS,Europe,Amsterdam,157,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,162,0.00
51.143.162.160,80,80,false,LHR,Europe,London,162,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,163,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,170,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,206,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,208,0.00
20.42.63.168,80,80,false,IAD,North America,Ashburn,216,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,217,0.00
172.210.57.202,80,80,false,IAD,North America,Ashburn,219,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,223,0.00
20.119.73.200,80,80,false,IAD,North America,Ashburn,230,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,231,0.00
172.174.249.255,80,80,false,IAD,North America,Ashburn,235,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,242,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,251,0.00
172.191.74.198,8080,80,false,IAD,North America,Ashburn,272,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,273,0.00
74.235.55.225,80,80,false,IAD,North America,Ashburn,277,0.00
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,467,0.00
